num_threads,num_trapezoids,pi_approximation,time_elapsed
1,1,3.00000000000000000000,0.00000400000000000000
1,10,3.13992598890715888496,0.00000300000000000000
1,100,3.14157598692312855495,0.00000500000000000000
1,1000,3.14159248692312657088,0.00003300000000000000
1,10000,3.14159265192312657251,0.00036600000000000001
1,100000,3.14159265357312656591,0.00285499999999999990
1,1000000,3.14159265358962659187,0.02946899999999999867
2,1,3.00000000000000000000,0.00000300000000000000
2,10,3.13992598890715888496,0.00006000000000000000
2,100,3.14157598692312855582,0.00005000000000000000
2,1000,3.14159248692312657197,0.00014200000000000001
2,10000,3.14159265192312657121,0.00021100000000000001
2,100000,3.14159265357312656938,0.00149599999999999993
2,1000000,3.14159265358962658927,0.01485999999999999995
4,1,3.00000000000000000000,0.00000300000000000000
4,10,2.69698029425684221612,0.00010800000000000000
4,100,3.14157598692312855582,0.00009899999999999999
4,1000,3.14159248692312657197,0.00009800000000000000
4,10000,3.14159265192312657294,0.00017899999999999999
4,100000,3.14159265357312656765,0.00082600000000000002
4,1000000,3.14159265358962656823,0.00771099999999999997
8,1,3.00000000000000000000,0.00000300000000000000
8,10,2.69698029425684221612,0.00026600000000000001
8,100,3.05995399862422841493,0.00031799999999999998
8,1000,3.14159248692312657153,0.00029799999999999998
8,10000,3.14159265192312657121,0.00039300000000000001
8,100000,3.14159265357312657090,0.00133200000000000007
8,1000000,3.14159265358962656455,0.00830400000000000062
16,1,3.00000000000000000000,0.00000300000000000000
16,10,3.13992598890715888540,0.00033599999999999998
16,100,3.05995399862422841515,0.00049600000000000002
16,1000,3.12552831492651134681,0.00051000000000000004
16,10000,3.14159265192312657207,0.00055900000000000004
16,100000,3.14159265357312657025,0.00144199999999999992
16,1000000,3.14159265358962657170,0.00965099999999999986
32,1,3.00000000000000000000,0.00000300000000000000
32,10,3.13992598890715888518,0.00031599999999999998
32,100,3.05995399862422841515,0.00098799999999999995
32,1000,3.12552831492651134637,0.00101899999999999994
32,10000,3.13839009055512762865,0.00102000000000000007
32,100000,3.14159265357312657155,0.00191299999999999999
32,1000000,3.14159265358962657365,0.01285099999999999958
64,1,3.00000000000000000000,0.00000400000000000000
64,10,3.13992598890715888518,0.00030100000000000000
64,100,2.27723129106694703008,0.00169499999999999989
64,1000,3.05997115752151960916,0.00178800000000000009
64,10000,3.13839009055512762844,0.00195300000000000009
64,100000,3.14095255116219857156,0.00352399999999999979
64,1000000,3.14159265358962657083,0.01262500000000000080
128,1,3.00000000000000000000,0.00000300000000000000
128,10,3.13992598890715888518,0.00029000000000000000
128,100,3.14157598692312855539,0.00269099999999999982
128,1000,2.92240284191068696489,0.00364400000000000010
128,10000,3.13839009055512762692,0.00360999999999999993
128,100000,3.14095255116219857199,0.00557500000000000009
128,1000000,3.14146464949353917940,0.01175700000000000009
256,1,3.00000000000000000000,0.00000300000000000000
256,10,3.13992598890715888518,0.00035700000000000000
256,100,3.14157598692312855582,0.00258600000000000019
256,1000,2.61968752545231251721,0.00694200000000000025
256,10000,3.13839009055512762974,0.00709900000000000028
256,100000,3.13839009220776762204,0.00775200000000000021
256,1000000,3.14146464949353917961,0.01678199999999999831
512,1,3.00000000000000000000,0.00000400000000000000
512,10,3.13992598890715888518,0.00034900000000000003
512,100,3.14157598692312855539,0.00270799999999999990
512,1000,1.89280561948383085425,0.01336799999999999967
512,10000,3.08644610551812928543,0.01619500000000000106
512,100000,3.13839009220776762378,0.01565400000000000125
512,1000000,3.14146464949353917983,0.02189299999999999927
